Time	fob_ID	hub_ID	Name	Checked-In
1000	1	0	30.99	0
1000	2	0	32.61	0
1000	3	0	34.24	0
1000	4	0	33.93	0
1000	5	0	32.16	1
2000	1	1	39.84	1
2000	2	1	39.15	1
2000	3	1	35.31	1
2000	4	0	32.11	1
2000	5	1	37.64	1
3000	1	0	31.79	1
3000	2	0	34.59	1
3000	3	1	39.74	1
3000	4	0	32.78	1
3000	5	0	32.19	1
4000	1	1	38.92	1
4000	2	1	38.37	1
4000	3	1	36.13	1
4000	4	0	30.65	0
4000	5	1	36.15	0
5000	1	0	33.23	1
5000	2	1	38.79	0
5000	3	0	32.52	0
5000	4	0	32.51	0
5000	5	1	36.72	0
6000	1	0	32.05	0
6000	2	0	30.20	0
6000	3	0	30.72	1
6000	4	0	32.74	1
6000	5	1	37.99	1
7000	1	0	32.43	1
7000	2	0	30.80	1
7000	3	0	35.55	1
7000	4	0	32.59	1
7000	5	0	33.09	0
8000	1	0	32.53	1
8000	2	1	35.42	0
8000	3	0	33.32	1
8000	4	1	39.43	0
8000	5	0	30.02	1
